Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
32,ils,ellos,/eʝos/,/eʝos/,Ellos juegan al fútbol.,Ils jouent au football.,/eʝos ksuegan al futbol./,Ellos juegan al fútbol.,Ils jouent au football.,/eʝos ksuegan al futbol./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
33,elles,ellas,/eʝas/,/eʝas/,Ellas bailan elegantemente.,Elles dansent élégamment.,/eʝas bailan elegantemente./,Ellas bailan elegantemente.,Elles dansent élégamment.,/eʝas bailan elegantemente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
34,mon,mi,/mi/,/mi/,Mi padre es médico.,Mon père est médecin.,/mi padɾe es mediko./,Mi padre es médico.,Mon père est médecin.,/mi padɾe es mediko./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
35,ma,mi,/mi/,/mi/,Mi madre cocina bien.,Ma mère cuisine bien.,/mi madɾe koθina bien./,Mi madre cocina bien.,Ma mère cuisine bien.,/mi madɾe kosina bien./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
36,mes,mis,/mis/,/mis/,Mis amigos son simpáticos.,Mes amis sont sympathiques.,/mis amigos son simpatikos./,Mis amigos son simpáticos.,Mes amis sont sympathiques.,/mis amigos son simpatikos./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
37,ton,tu,/tu/,/tu/,Tu pluma es azul.,Ton stylo est bleu.,/tu pluma es aθul./,Tu pluma es azul.,Ton stylo est bleu.,/tu pluma es asul./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
38,sa,su,/su/,/su/,Su coche es rápido.,Sa voiture est rapide.,/su kotʃe es rapido./,Su coche es rápido.,Sa voiture est rapide.,/su kotʃe es rapido./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
39,ses,sus,/sus/,/sus/,Sus libros son interesantes.,Ses livres sont intéressants.,/sus libɾos son interesantes./,Sus libros son interesantes.,Ses livres sont intéressants.,/sus libɾos son interesantes./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
40,leur,su,/su/,/su/,Su casa es grande.,Leur maison est grande.,/su kasa es grande./,Su casa es grande.,Leur maison est grande.,/su kasa es grande./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
41,plus,más,/mas/,/mas/,Hace más frío hoy.,Il fait plus froid aujourd'hui.,/aθe mas fɾio oy./,Hace más frío hoy.,Il fait plus froid aujourd'hui.,/ase mas fɾio oy./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
42,moins,menos,/menos/,/menos/,Ella tiene menos tiempo.,Elle a moins de temps.,/eʝa tiene menos tiempo./,Ella tiene menos tiempo.,Elle a moins de temps.,/eʝa tiene menos tiempo./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
43,bien,bien,/bien/,/bien/,Hablas bien español.,Tu parles bien français.,/ablas bien espaɲol./,Hablas bien español.,Tu parles bien français.,/ablas bien espaɲol./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
44,très,muy,/muy/,/muy/,Es muy bonito.,C'est très beau.,/es muy bonito./,Es muy bonito.,C'est très beau.,/es muy bonito./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
45,aussi,también,/tambien/,/tambien/,Él es también inteligente.,Il est aussi intelligent.,/el es tambien inteliksente./,Él es también inteligente.,Il est aussi intelligent.,/el es tambien inteliksente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
46,encore,más,/mas/,/mas/,Quiere más pastel.,Il veut encore du gâteau.,/kieɾe mas pastel./,Quiere más pastel.,Il veut encore du gâteau.,/kieɾe mas pastel./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
47,déjà,ya,/ʝa/,/ʝa/,Ya he comido.,J'ai déjà mangé.,/ʝa e komido./,Ya he comido.,J'ai déjà mangé.,/ʝa e komido./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
48,toujours,siempre,/siempɾe/,/siempɾe/,Siempre llega tarde.,Il est toujours en retard.,/siempɾe ʝega tarde./,Siempre llega tarde.,Il est toujours en retard.,/siempɾe ʝega tarde./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
49,jamais,nunca,/nunka/,/nunka/,Nunca hago eso.,Je ne fais jamais cela.,/nunka ago eso./,Nunca hago eso.,Je ne fais jamais cela.,/nunka ago eso./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
50,peut-être,quizá,/kiθa/,/kisa/,Quizá vengas mañana.,Peut-être viendras‑tu mañana.,/kiθa bengas maɲana./,Quizá vengas mañana.,Peut-être viendras‑tu mañana.,/kisa bengas maɲana./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
51,maintenant,ahora,/aoɾa/,/aoɾa/,Lo hago ahora.,Je le fais maintenant.,/lo ago aora./,Lo hago ahora.,Je le fais maintenant.,/lo ago aora./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
52,alors,entonces,/entonθes/,/entonses/,"Entonces, ¿qué haces?","Alors, que fais‑tu ?","/entonθes, ¿ke aθes?/","Entonces, ¿qué haces?","Alors, que fais‑tu ?","/entonses, ¿ke ases?/",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
53,ensuite,luego,/luego/,/luego/,Luego iremos al cine.,"Ensuite, nous irons au cinéma.",/luego iɾemos al θine./,Luego iremos al cine.,"Ensuite, nous irons au cinéma.",/luego iɾemos al sine./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
54,avant,antes,/antes/,/antes/,"Antes de irte, cierra la puerta.","Avant de partir, ferme la porte.","/antes de irte, θieɾa la puerta./","Antes de irte, cierra la puerta.","Avant de partir, ferme la porte.","/antes de irte, sieɾa la puerta./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
55,après,después,/despues/,/despues/,"Después de la cena, hablamos.","Après le dîner, nous avons parlé.","/despues de la θena, ablamos./","Después de la cena, hablamos.","Après le dîner, nous avons parlé.","/despues de la sena, ablamos./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
56,ici,aquí,/aki/,/aki/,Ven aquí.,Viens ici.,/ben aki./,Ven aquí.,Viens ici.,/ben aki./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
57,là-bas,allí,/aʝi/,/aʝi/,Mira allá.,Regarde là‑bas.,/miɾa aʝa./,Mira allá.,Regarde là‑bas.,/miɾa aʝa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
58,où,dónde,/donde/,/donde/,¿Dónde está la estación?,Où est la gare ?,/¿donde esta la estaθion?/,¿Dónde está la estación?,Où est la gare ?,/¿donde esta la estasion?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
59,pourquoi,por qué,/poɾ ke/,/poɾ ke/,¿Por qué ríes?,Pourquoi ris‑tu ?,/¿por ke ries?/,¿Por qué ríes?,Pourquoi ris‑tu ?,/¿por ke ries?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
60,comment,cómo,/komo/,/komo/,¿Cómo estás?,Comment ça va ?,/¿komo estas?/,¿Cómo estás?,Comment ça va ?,/¿komo estas?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
61,quand,cuándo,/kuando/,/kuando/,¿Cuándo salimos?,Quand partons‑nous ?,/¿kuando salimos?/,¿Cuándo salimos?,Quand partons‑nous ?,/¿kuando salimos?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
62,combien,cuánto,/kuanto/,/kuanto/,¿Cuánto cuesta?,Combien ça coûte ?,/¿kuanto kuesta?/,¿Cuánto cuesta?,Combien ça coûte ?,/¿kuanto kuesta?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
63,quel,cuál,/kual/,/kual/,¿Cuál es tu nombre?,Quel est ton nom ?,/¿kual es tu nombre?/,¿Cuál es tu nombre?,Quel est ton nom ?,/¿kual es tu nombre?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
64,lequel,cuál,/kual/,/kual/,¿Cuál prefieres?,Lequel préfères‑tu ?,/¿kual prefieres?/,¿Cuál prefieres?,Lequel préfères‑tu ?,/¿kual prefieres?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
65,parce que,porque,/poɾke/,/poɾke/,Río porque es gracioso.,Je ris porque c'est drôle.,/rio poɾke es graθioso./,Río porque es gracioso.,Je ris porque c'est drôle.,/rio poɾke es grasioso./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
66,donc,por lo tanto,/poɾ lo tanto/,/poɾ lo tanto/,"Está cansado, por lo tanto descansa.","Il est fatigué, donc il se repose.","/esta kansado, poɾ lo tanto deskansa./","Está cansado, por lo tanto descansa.","Il est fatigué, donc il se repose.","/esta kansado, poɾ lo tanto deskansa./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
67,car,pues,/pues/,/pues/,"No vino, pues estaba enfermo.","Il n'est pas venu, car il était malade.","/no bino, pues estaba enfermo./","No vino, pues estaba enfermo.","Il n'est pas venu, car il était malade.","/no bino, pues estaba enfermo./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
68,entre,entre,/entɾe/,/entɾe/,El gato está entre dos sillas.,Il est entre deux chaises.,/el gato esta entɾe dos siʝas./,El gato está entre dos sillas.,Il est entre deux chaises.,/el gato esta entɾe dos siʝas./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
69,sans,sin,/sin/,/sin/,No puedo vivir sin ti.,Je ne peux pas vivre sans toi.,/no puedo bibiɾ sin ti./,No puedo vivir sin ti.,Je ne peux pas vivre sans toi.,/no puedo bibiɾ sin ti./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
70,selon,según,/segun/,/segun/,"Según el informe, todo va bien.","Selon le rapport, tout va bien.","/segun el informe, todo ba bien./","Según el informe, todo va bien.","Selon le rapport, tout va bien.","/segun el informe, todo ba bien./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
71,contre,contra,/kontɾa/,/kontɾa/,Está en contra de esa idea.,Il est contre cette idée.,/esta en kontɾa de esa idea./,Está en contra de esa idea.,Il est contre cette idée.,/esta en kontɾa de esa idea./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
